City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
96,Chipinge,ZW,2021-06-17 23:55:26,-20.1883,32.6236,54.36,64,0,2.95
97,Gambela,ET,2021-06-17 23:55:26,8.25,34.5833,69.84,96,100,2.42
98,Ndele,CF,2021-06-17 23:55:27,8.4109,20.6473,70.95,87,100,2.19
99,Huarmey,PE,2021-06-17 23:55:27,-10.0681,-78.1522,67.39,85,60,7.92
100,Sabang,ID,2021-06-17 23:55:27,5.8933,95.3214,82.18,72,99,13.35
101,Ibotirama,BR,2021-06-17 23:55:28,-12.1853,-43.2206,76.44,46,32,1.34
102,Yeppoon,AU,2021-06-17 23:55:28,-23.1333,150.7333,67.57,37,19,5.95
103,Cabo San Lucas,MX,2021-06-17 23:54:16,22.8909,-109.9124,102.51,65,9,18.57
104,Hualmay,PE,2021-06-17 23:55:28,-11.0964,-77.6139,66.11,86,52,9.44
105,Hohhot,CN,2021-06-17 23:55:29,40.8106,111.6522,62.89,42,0,8.95
106,Prince Rupert,CA,2021-06-17 23:55:29,54.3161,-130.3201,55.09,91,90,6.91
107,Las Margaritas,MX,2021-06-17 23:55:30,16.3167,-91.9833,63.9,94,100,2.42
108,Ribeira Grande,PT,2021-06-17 23:55:30,38.5167,-28.7,65.82,68,99,9.28
109,Ateli,IN,2021-06-17 23:55:30,28.1,76.2833,84.22,63,0,5.5
110,Kahului,US,2021-06-17 23:55:31,20.8947,-156.47,79.97,80,50,12.06
111,Atar,MR,2021-06-17 23:55:31,20.5169,-13.0499,90.16,16,4,11.21
112,Okulovka,RU,2021-06-17 23:55:31,58.4008,33.2908,55.58,75,48,4.45
113,Road Town,VG,2021-06-17 23:55:32,18.4167,-64.6167,82.44,83,75,11.5
114,Talavera De La Reina,ES,2021-06-17 23:55:32,39.9635,-4.8308,65.07,67,72,4.47
115,New Norfolk,AU,2021-06-17 23:55:32,-42.7826,147.0587,55.65,91,99,2.21
116,Pilibanga,IN,2021-06-17 23:55:33,29.4916,74.079,88.39,44,88,7.4
117,Batagay,RU,2021-06-17 23:55:33,67.6333,134.6333,74.61,31,5,2.91
118,Hervey Bay,AU,2021-06-17 23:55:34,-25.2986,152.8535,70.03,54,59,3.0
119,Teya,RU,2021-06-17 23:55:34,60.3778,92.6267,61.75,91,90,2.66
120,Wadi Musa,JO,2021-06-17 23:55:34,30.3222,35.4793,59.52,57,0,3.83
121,Inzer,RU,2021-06-17 23:55:35,54.2167,57.5556,49.37,96,23,2.82
122,Sobolevo,RU,2021-06-17 23:55:35,54.4299,31.8996,55.67,90,33,4.59
123,Juntas,CR,2021-06-17 23:55:35,10.2809,-84.9595,77.68,86,99,1.88
124,Sao Jose Da Coroa Grande,BR,2021-06-17 23:55:36,-8.8978,-35.1478,74.86,91,23,8.16
125,Neuquen,AR,2021-06-17 23:51:14,-38.9516,-68.0591,39.09,93,90,6.91
126,Eureka,US,2021-06-17 23:53:03,40.8021,-124.1637,71.91,71,4,8.01
127,Sirsa,IN,2021-06-17 23:55:36,29.5333,75.0167,87.42,55,76,5.53
128,Riyadh,SA,2021-06-17 23:53:33,24.6877,46.7219,89.65,10,0,8.05
129,Rio Grande,BR,2021-06-17 23:55:37,-32.035,-52.0986,51.26,84,16,4.85
130,Faanui,PF,2021-06-17 23:55:37,-16.4833,-151.75,80.58,65,97,19.35
131,Avarua,CK,2021-06-17 23:55:38,-21.2078,-159.775,80.65,78,75,12.66
132,Bayan,CN,2021-06-17 23:55:38,46.0833,127.4,60.49,72,84,14.85
133,Mazagao,BR,2021-06-17 23:55:38,-0.115,-51.2894,78.85,96,22,2.95
134,Sambava,MG,2021-06-17 23:55:39,-14.2667,50.1667,69.42,84,34,8.93
