City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Weather Description,Date
117,Noumea,-22.2763,166.4572,75.99,99,87,15.97,NC,overcast clouds,2021-06-19 01:55:58
118,Kaduqli,11.0167,29.7167,76.91,73,91,5.59,SD,overcast clouds,2021-06-19 01:55:59
119,Paungde,18.4833,95.5,78.31,85,100,10.63,MM,overcast clouds,2021-06-19 01:55:59
120,Rodrigues Alves,-7.738,-72.6509,76.55,71,98,2.13,BR,overcast clouds,2021-06-19 01:55:59
121,Poso,-1.3959,120.7524,84.47,65,13,1.28,ID,few clouds,2021-06-19 01:56:00
122,Port Macquarie,-31.4333,152.9167,66.88,45,40,17.27,AU,scattered clouds,2021-06-19 01:56:00
123,Gat,31.61,34.7642,69.4,81,0,2.8,IL,clear sky,2021-06-19 01:56:01
124,Yasothon,15.75,104.1333,92.37,56,37,13.56,TH,scattered clouds,2021-06-19 01:56:01
125,Sajanan,37.0573,9.2426,76.12,65,11,4.36,TN,few clouds,2021-06-19 01:56:01
126,Carnarvon,-24.8667,113.6333,57.27,43,0,10.36,AU,clear sky,2021-06-19 01:53:21
127,Izumo,35.3667,132.7667,75.15,83,75,12.66,JP,broken clouds,2021-06-19 01:56:02
128,Victoria,22.2855,114.1577,91.96,76,100,7.0,HK,overcast clouds,2021-06-19 01:53:20
129,Hasaki,35.7333,140.8333,70.29,84,100,10.76,JP,light rain,2021-06-19 01:53:05
130,Chuy,-33.6971,-53.4616,49.24,89,6,5.37,UY,clear sky,2021-06-19 01:53:18
131,Kloulklubed,7.0419,134.2556,84.7,71,23,4.68,PW,few clouds,2021-06-19 01:56:03
132,Socorro,31.6546,-106.3033,97.79,12,0,8.23,US,clear sky,2021-06-19 01:56:03
133,Severo-Kurilsk,50.6789,156.125,44.74,86,84,3.33,RU,broken clouds,2021-06-19 01:53:24
134,Ardesen,41.1911,40.9875,62.56,74,60,3.98,TR,broken clouds,2021-06-19 01:56:04
135,Panama City,8.9936,-79.5197,82.06,85,100,1.99,PA,overcast clouds,2021-06-19 01:51:09
136,Petropavlovka,50.6114,105.3196,68.9,40,23,2.55,RU,few clouds,2021-06-19 01:56:05
137,Bethel,41.3712,-73.414,74.28,66,1,9.22,US,clear sky,2021-06-19 01:48:34
138,Inuvik,68.3499,-133.7218,77.86,29,20,8.05,CA,few clouds,2021-06-19 01:56:05
139,Areosa,41.7178,-8.8571,60.31,91,8,8.77,PT,clear sky,2021-06-19 01:56:06
140,Caravelas,-17.7125,-39.2481,69.62,88,100,9.98,BR,overcast clouds,2021-06-19 01:56:06
141,Norman Wells,65.282,-126.8329,77.04,22,40,5.75,CA,scattered clouds,2021-06-19 01:56:07
142,Poum,-20.2333,164.0167,75.83,79,14,11.03,NC,few clouds,2021-06-19 01:56:07
143,Skjervoy,70.0311,20.9714,48.58,82,79,27.02,NO,broken clouds,2021-06-19 01:56:07
144,Zabol,32.25,67.25,69.24,18,0,6.08,AF,clear sky,2021-06-19 01:56:08
145,Blackwater,-23.5833,148.8833,64.13,34,40,11.7,AU,scattered clouds,2021-06-19 01:56:08
146,Mehamn,71.0357,27.8492,43.21,86,100,6.71,NO,overcast clouds,2021-06-19 01:56:09
147,Vila Velha,-20.3297,-40.2925,66.15,94,40,3.44,BR,scattered clouds,2021-06-19 01:56:09
148,Kavieng,-2.5744,150.7967,82.0,71,100,5.55,PG,light rain,2021-06-19 01:53:03
149,Bolobo,-2.1667,16.2333,72.1,69,74,1.21,CD,broken clouds,2021-06-19 01:56:10
150,Bukachacha,52.9833,116.9167,52.83,98,100,4.43,RU,moderate rain,2021-06-19 01:56:10
151,Mollendo,-17.0231,-72.0147,62.38,90,32,9.44,PE,scattered clouds,2021-06-19 01:56:11
152,Khandyga,62.6667,135.6,83.28,24,79,2.46,RU,broken clouds,2021-06-19 01:56:11
153,Sehithwa,-20.4667,22.7167,56.14,43,3,7.61,BW,clear sky,2021-06-19 01:56:11
154,Viedma,-40.8135,-62.9967,39.0,91,75,6.71,AR,broken clouds,2021-06-19 01:56:12
155,Antofagasta,-23.65,-70.4,58.28,79,23,4.59,CL,few clouds,2021-06-19 01:56:03
